Gas Station,Address,Link,Бензин A100,Бензин A95,Бензин A95+,Бензин A98,Дизел,Дизел премиум,Електричество,Метан,Пропан Бутан,Navigation links
 InterSpeed Орландовци,бул. Първа българска армия №56,https://bg.fuelo.net/gasstation/id/1299?lang=bg,2.85 лв/л.(kw/h),2.48 лв/л.(kw/h),None,None,2.86 лв/л.(kw/h),2.90 лв/л.(kw/h),None,None,None,"https://www.google.com/maps/dir/?api=1&destination=42.720680,23.332958&travelmode=driving"
 InterSpeed Дружба,ул. Асен Йорданов №13,https://bg.fuelo.net/gasstation/id/1301?lang=bg,2.83 лв/л.(kw/h),2.53 лв/л.(kw/h),None,None,2.90 лв/л.(kw/h),2.92 лв/л.(kw/h),None,None,1.14 лв/л.(kw/h),"https://www.google.com/maps/dir/?api=1&destination=42.672501,23.391800&travelmode=driving"
 InterSpeed Слатина,ул. Боян Магесник №100,https://bg.fuelo.net/gasstation/id/1303?lang=bg,2.83 лв/л.(kw/h),2.54 лв/л.(kw/h),None,None,2.87 лв/л.(kw/h),None,None,None,1.13 лв/л.(kw/h),"https://www.google.com/maps/dir/?api=1&destination=42.686676,23.376602&travelmode=driving"
 InterSpeed Обеля,ул. Академик Дмитрий Лихачов №29,https://bg.fuelo.net/gasstation/id/1617?lang=bg,2.77 лв/л.(kw/h),2.45 лв/л.(kw/h),None,None,2.77 лв/л.(kw/h),None,None,2.89 лв/л.(kw/h),1.14 лв/л.(kw/h),"https://www.google.com/maps/dir/?api=1&destination=42.743099,23.274200&travelmode=driving"
 InterSpeed Надежда,ул. Бели Дунав №47,https://bg.fuelo.net/gasstation/id/1701?lang=bg,3.02 лв/л.(kw/h),2.47 лв/л.(kw/h),None,None,2.82 лв/л.(kw/h),None,None,None,1.15 лв/л.(kw/h),"https://www.google.com/maps/dir/?api=1&destination=42.737202,23.296900&travelmode=driving"
 InterSpeed Люлин,ул. Ген. Асен Николов №21,https://bg.fuelo.net/gasstation/id/58814?lang=bg,None,2.47 лв/л.(kw/h),None,None,2.82 лв/л.(kw/h),None,None,None,1.14 лв/л.(kw/h),"https://www.google.com/maps/dir/?api=1&destination=42.717098,23.261200&travelmode=driving"
 InterSpeed Младост,ул. инж. Георги Белов №2,https://bg.fuelo.net/gasstation/id/2012?lang=bg,None,2.58 лв/л.(kw/h),None,None,2.97 лв/л.(kw/h),2.96 лв/л.(kw/h),None,3.42 лв/л.(kw/h),1.14 лв/л.(kw/h),"https://www.google.com/maps/dir/?api=1&destination=42.638485,23.396025&travelmode=driving"
 VM Petroleum София,ул. Околовръстен път №811,https://bg.fuelo.net/gasstation/id/55069?lang=bg,2.95 лв/л.(kw/h),2.45 лв/л.(kw/h),None,None,2.77 лв/л.(kw/h),None,None,None,1.14 лв/л.(kw/h),"https://www.google.com/maps/dir/?api=1&destination=42.721699,23.238100&travelmode=driving"
 CHIMOIL София,бул проф. Цветан Лазаров №13 (тържище Слатина-Булгарплод),https://bg.fuelo.net/gasstation/id/54777?lang=bg,None,2.69 лв/л.(kw/h),None,None,2.97 лв/л.(kw/h),None,None,None,None,"https://www.google.com/maps/dir/?api=1&destination=42.676819,23.384041&travelmode=driving"
 Tesla Sofia Paradise Center,бул. Черни връх №100,https://bg.fuelo.net/gasstation/id/64981?lang=bg,None,None,None,None,None,None,0.00 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.657734,23.313719&travelmode=driving"
